freq,mag,db
0,0.0386788,-28.2505
0.199998,0.0389565,-28.1884
0.399996,0.0388909,-28.203
0.599995,0.0390364,-28.1706
0.799993,0.039398,-28.0905
0.999991,0.0394142,-28.087
1.19999,0.0399947,-27.9599
1.39999,0.0402356,-27.9078
1.59999,0.0406935,-27.8095
1.79998,0.0413851,-27.6631
1.99998,0.0417311,-27.5908
2.19998,0.0426685,-27.3979
2.39998,0.0432739,-27.2755
2.59998,0.0441152,-27.1082
2.79997,0.0452228,-26.8929
2.99997,0.0459885,-26.747
3.19997,0.0473972,-26.4849
3.39997,0.0484872,-26.2875
3.59997,0.0498491,-26.0469
3.79997,0.0515351,-25.7579
3.99996,0.0528875,-25.5329
4.19996,0.0549683,-25.1978
4.39996,0.0567599,-24.9192
4.59996,0.0588802,-24.6006
4.79996,0.0614217,-24.2336
4.99995,0.063651,-23.9239
5.19995,0.0667405,-23.5122
5.39995,0.0696004,-23.1478
5.59995,0.0728776,-22.7481
5.79995,0.0767332,-22.3003
5.99995,0.0803226,-21.9032
6.19994,0.0849702,-21.4147
6.39994,0.0895005,-20.9635
6.59994,0.094581,-20.4839
6.79994,0.100488,-19.9577
6.99994,0.106214,-19.4763
7.19993,0.113288,-18.9163
7.39993,0.120439,-18.3846
7.59993,0.128328,-17.8336
7.79993,0.137422,-17.2389
7.99993,0.146472,-16.6849
8.19993,0.157267,-16.0673
8.39992,0.168453,-15.4704
8.59992,0.180605,-14.8654
8.79992,0.194504,-14.2214
8.99992,0.208547,-13.6159
9.19992,0.224816,-12.9634
9.39991,0.241933,-12.3261
9.59991,0.260224,-11.693
9.79991,0.280942,-11.0277
9.99991,0.302004,-10.3998
10.1999,0.325737,-9.74266
10.3999,0.350878,-9.09687
10.5999,0.377222,-8.46807
10.7999,0.406663,-7.81531
10.9999,0.436541,-7.19949
11.1999,0.469208,-6.57268
11.3999,0.503784,-5.9551
11.5999,0.539129,-5.36615
11.7999,0.577862,-4.76351
11.9999,0.616802,-4.19708
12.1999,0.657845,-3.63753
12.3999,0.700886,-3.08705
12.5999,0.743452,-2.57494
12.7999,0.788746,-2.06125
12.9999,0.833433,-1.58259
13.1999,0.878227,-1.12786
13.3999,0.92425,-0.684214
13.5999,0.967596,-0.286116
13.7999,1.01152,0.0994969
13.9999,1.05339,0.451781
14.1999,1.09202,0.764628
14.3999,1.13001,1.06168
14.5999,1.16271,1.30943
14.7999,1.19248,1.52905
14.9999,1.21862,1.71733
15.1999,1.23795,1.85405
15.3999,1.25422,1.96744
15.5999,1.26367,2.03268
15.7999,1.2669,2.05482
15.9999,1.26597,2.04847
16.1999,1.25692,1.98619
16.3999,1.24345,1.89257
16.5998,1.22475,1.76093
16.7998,1.19943,1.57952
16.9998,1.17184,1.3774
17.1998,1.13945,1.1339
17.3998,1.10425,0.86133
17.5998,1.06905,0.579952
17.7998,1.03167,0.270795
17.9998,0.996209,-0.032988
18.1998,0.963271,-0.325029
18.3998,0.93226,-0.609263
18.5998,0.907378,-0.84424
18.7998,0.887397,-1.03764
18.9998,0.873193,-1.1778
19.1998,0.867439,-1.23522
19.3998,0.867615,-1.23345
19.5998,0.875206,-1.15779
19.7998,0.890476,-1.00755
19.9998,0.910139,-0.817844
20.1998,0.935639,-0.577834
20.3998,0.96479,-0.311348
20.5998,0.994474,-0.0481309
20.7998,1.02589,0.222041
20.9998,1.05514,0.466206
21.1998,1.0805,0.672529
21.3998,1.10287,0.850453
21.5998,1.11799,0.968793
21.7998,1.12652,1.03481
21.9998,1.12903,1.05409
22.1998,1.12258,1.00432
22.3998,1.11023,0.908226
22.5998,1.09236,0.76733
22.7998,1.06834,0.574208
22.9998,1.04271,0.363241
23.1998,1.01565,0.134912
23.3998,0.988524,-0.100255
23.5998,0.96578,-0.302431
23.7998,0.946955,-0.473409
23.9998,0.933955,-0.593482
24.1998,0.929511,-0.634908
24.3998,0.931567,-0.615721
24.5998,0.941096,-0.527321
24.7998,0.958142,-0.371404
24.9998,0.978806,-0.186065
25.1998,1.00306,0.0265722
25.3998,1.02887,0.247176
25.5998,1.05181,0.438778
25.7998,1.07221,0.605627
25.9998,1.08752,0.728748
26.1998,1.09486,0.787133
26.3998,1.09617,0.797525
26.5998,1.08989,0.747671
26.7998,1.07598,0.636058
26.9998,1.05823,0.491569
27.1998,1.03648,0.311254
27.3998,1.01308,0.112854
27.5998,0.992415,-0.0661319
27.7997,0.9746,-0.223476
27.9997,0.962243,-0.334308
28.1997,0.958149,-0.371336
28.3997,0.960612,-0.349036
28.5997,0.970335,-0.261568
28.7997,0.987112,-0.112671
28.9997,1.00675,0.0584676
29.1997,1.02831,0.2425
29.3997,1.04982,0.422293
29.5997,1.06661,0.560148
29.7997,1.07853,0.656646
